file,loc,language,change_count,churn_added,churn_deleted,churn_total,authors_count,author_concentration,last_modified_date,max_function_cc,avg_function_cc,max_function_loc,duplication_percent,code_health_score,hotspot_score,is_hotspot,coupling_degree,developer_congestion_flag,former_contributor_risk_flag
osafw-app/App_Code/controllers/DevManage.cs,471,.cs,18,709,2636,3345,1,1.0,2026-01-21T16:46:29-06:00,30,2.96,80,46.5,5.33,0.7392,True,170,False,False
osafw-app/App_Code/controllers/DevSelfTest.cs,23,.cs,1,1,1,2,1,1.0,2025-12-10T11:47:30-06:00,1,1.0,6,34.78,8.5,0.0,False,0,False,False
osafw-app/App_Code/controllers/Home.cs,50,.cs,6,31,19,50,1,1.0,2025-12-15T17:20:37-06:00,3,1.33,11,32.0,8.49,0.4407,True,89,False,False
osafw-app/App_Code/controllers/Login.cs,164,.cs,9,54,46,100,1,1.0,2025-12-15T17:20:37-06:00,14,4.25,62,40.85,6.98,0.5692,True,107,False,False
osafw-app/App_Code/controllers/Main.cs,157,.cs,8,75,43,118,2,0.98,2025-12-15T17:20:37-06:00,4,1.6,126,31.85,7.48,0.5479,True,85,False,False
osafw-app/App_Code/controllers/MyFeedback.cs,43,.cs,4,8,9,17,1,1.0,2025-12-15T17:20:37-06:00,1,1.0,17,25.58,8.5,0.3697,False,0,False,False
osafw-app/App_Code/controllers/MyFilters.cs,69,.cs,7,14,16,30,1,1.0,2025-12-26T15:39:04-06:00,7,2.6,22,20.29,8.49,0.4819,True,94,False,False
osafw-app/App_Code/controllers/MyLists.cs,137,.cs,9,42,44,86,1,1.0,2025-12-15T18:06:37-06:00,7,2.73,27,43.07,8.48,0.5592,True,86,False,False
osafw-app/App_Code/controllers/MyMFA.cs,70,.cs,8,17,18,35,2,0.97,2025-12-26T15:39:04-06:00,5,2.5,33,27.14,8.49,0.5028,True,83,False,False
osafw-app/App_Code/controllers/MyPassword.cs,89,.cs,9,20,22,42,1,1.0,2025-12-26T15:39:04-06:00,10,3.6,32,41.57,7.99,0.5343,True,164,False,False
osafw-app/App_Code/controllers/MySettings.cs,67,.cs,10,16,23,39,1,1.0,2025-12-26T15:39:04-06:00,6,2.2,18,32.84,8.49,0.5325,True,112,False,False
osafw-app/App_Code/controllers/MyViews.cs,73,.cs,5,22,24,46,1,1.0,2025-12-15T17:20:37-06:00,4,1.83,18,21.92,8.5,0.4318,False,0,False,False
osafw-app/App_Code/controllers/Password.cs,47,.cs,10,34,118,152,1,1.0,2025-12-15T17:20:37-06:00,4,1.8,13,42.55,8.47,0.5101,True,87,False,False
osafw-app/App_Code/controllers/PasswordReset.cs,77,.cs,3,117,9,126,1,1.0,2025-12-15T17:20:37-06:00,7,3.8,24,50.65,8.5,0.345,False,0,False,False
osafw-app/App_Code/controllers/Signup.cs,77,.cs,8,20,24,44,2,0.98,2025-12-15T17:20:37-06:00,9,3.2,26,35.06,7.99,0.5083,True,86,False,False
osafw-app/App_Code/controllers/Sitemap.cs,39,.cs,4,20,16,36,1,1.0,2025-12-15T17:20:37-06:00,3,1.5,11,30.77,8.5,0.3651,False,0,False,False
osafw-app/App_Code/controllers/Test.cs,110,.cs,14,102,44,146,1,1.0,2025-12-15T17:20:37-06:00,4,1.57,37,45.45,8.47,0.6117,True,83,False,False
osafw-app/App_Code/controllers/WinLogin.cs,75,.cs,5,126,8,134,1,1.0,2025-12-15T17:20:37-06:00,14,5.33,57,40.0,7.0,0.4331,False,0,False,False
osafw-app/App_Code/fw/ConvUtils.cs,368,.cs,12,407,133,540,1,1.0,2025-12-15T18:06:37-06:00,15,4.92,77,45.38,6.39,0.6605,True,94,False,False
osafw-app/App_Code/fw/DB.cs,2021,.cs,28,1669,867,2536,2,1.0,2025-12-23T08:32:46-06:00,21,3.65,105,54.87,3.99,0.8958,True,181,False,False
osafw-app/App_Code/fw/DateUtils.cs,157,.cs,5,210,71,281,1,1.0,2025-12-03T18:08:57-06:00,7,2.17,18,47.77,8.5,0.4683,False,0,False,False
osafw-app/App_Code/fw/FW.cs,1269,.cs,38,1280,1126,2406,1,1.0,2026-01-21T16:46:29-06:00,41,5.68,172,38.06,4.02,0.9149,True,180,False,False
osafw-app/App_Code/fw/FormUtils.cs,523,.cs,22,334,196,530,2,1.0,2026-01-10T15:55:06-06:00,11,3.66,44,54.11,6.39,0.7765,True,176,False,False
osafw-app/App_Code/fw/FwActivityLogs.cs,174,.cs,6,44,42,86,1,1.0,2025-12-16T11:53:40-06:00,21,6.4,101,29.31,5.98,0.5051,True,84,False,False
osafw-app/App_Code/fw/FwAdminController.cs,192,.cs,18,134,80,214,1,1.0,2026-01-10T16:01:24-06:00,10,3.1,35,41.15,7.96,0.6835,True,97,False,False
osafw-app/App_Code/fw/FwApiController.cs,47,.cs,3,28,29,57,1,1.0,2025-12-10T11:47:30-06:00,10,6.0,21,36.17,8.0,0.3253,False,0,False,False
osafw-app/App_Code/fw/FwCache.cs,89,.cs,5,34,32,66,1,1.0,2025-12-15T17:20:37-06:00,4,1.73,19,60.67,8.5,0.4415,False,0,False,False
osafw-app/App_Code/fw/FwCollections.cs,54,.cs,3,90,24,114,1,1.0,2026-01-21T16:46:29-06:00,4,1.62,9,40.74,8.5,0.3309,False,0,False,False
osafw-app/App_Code/fw/FwConfig.cs,205,.cs,13,307,231,538,1,1.0,2025-12-16T15:21:12-06:00,12,3.82,37,31.71,7.39,0.6393,True,106,False,False
osafw-app/App_Code/fw/FwController.cs,1005,.cs,36,795,454,1249,2,1.0,2026-01-10T16:01:24-06:00,21,4.34,74,38.71,4.75,0.8918,True,184,False,False
osafw-app/App_Code/fw/FwControllers.cs,17,.cs,2,28,4,32,1,1.0,2025-12-15T17:20:37-06:00,1,1.0,8,41.18,8.5,0.215,False,0,False,False
osafw-app/App_Code/fw/FwCron.cs,104,.cs,3,189,6,195,1,1.0,2025-12-15T17:20:37-06:00,9,3.2,29,24.04,8.0,0.3566,False,0,False,False
osafw-app/App_Code/fw/FwCronService.cs,46,.cs,3,62,3,65,1,1.0,2025-12-16T14:46:38-06:00,3,2.0,22,43.48,8.5,0.3244,False,0,False,False
osafw-app/App_Code/fw/FwDynamicController.cs,1049,.cs,55,1311,842,2153,2,0.99,2026-01-20T09:49:19-06:00,51,6.97,165,52.62,4.07,0.956,True,193,False,False
osafw-app/App_Code/fw/FwEntities.cs,19,.cs,5,5,4,9,2,0.78,2025-06-17T15:53:42-05:00,2,1.5,8,31.58,8.5,0.3602,False,0,False,False
osafw-app/App_Code/fw/FwExceptions.cs,30,.cs,2,45,0,45,1,1.0,2025-12-10T11:47:30-06:00,1,1.0,1,53.33,8.5,0.2343,False,0,False,False
osafw-app/App_Code/fw/FwExtensions.cs,432,.cs,7,771,70,841,2,0.57,2025-12-15T17:20:37-06:00,11,3.73,40,66.67,6.83,0.576,True,84,False,False
osafw-app/App_Code/fw/FwKeys.cs,65,.cs,2,96,6,102,1,1.0,2025-12-15T17:20:37-06:00,4,2.0,25,46.15,8.5,0.2588,False,0,False,False
osafw-app/App_Code/fw/FwLogTypes.cs,19,.cs,1,1,1,2,1,1.0,2024-01-31T21:51:56+02:00,1,1.0,4,21.05,8.5,0.0,False,0,False,False
osafw-app/App_Code/fw/FwLogger.cs,254,.cs,3,291,78,369,1,1.0,2025-12-10T11:47:30-06:00,24,6.11,108,46.06,5.5,0.3891,False,0,False,False
osafw-app/App_Code/fw/FwModel.Generic.cs,223,.cs,3,303,22,325,1,1.0,2025-12-15T17:20:37-06:00,14,4.17,28,55.16,7.5,0.3846,False,0,False,False
osafw-app/App_Code/fw/FwModel.cs,1034,.cs,24,712,340,1052,2,0.95,2026-01-10T16:01:24-06:00,17,3.22,67,56.77,5.29,0.8314,True,171,False,False
osafw-app/App_Code/fw/FwReports.cs,247,.cs,16,236,96,332,2,0.98,2025-12-15T18:06:37-06:00,25,3.42,77,38.46,6.43,0.682,True,96,False,False
